CountryCode,Language
FRO,Danish
FRO,Faroese
FSM,Kosrean
FSM,Mortlock
FSM,Pohnpei
FSM,Trukese
FSM,Wolea
FSM,Yap
GAB,Fang
GAB,Mbete
GAB,Mpongwe
GAB,Punu-sira-nzebi
GBR,English
GBR,Gaeli
GBR,Kymri
GEO,Abhyasi
GEO,Armenian
GEO,Azerbaijani
GEO,Georgiana
GEO,Osseetti
GEO,Russian
GHA,Akan
GHA,Ewe
GHA,Ga-adangme
GHA,Gurma
GHA,Joruba
GHA,Mossi
GIB,Arabic
GIB,English
GIN,Ful
GIN,Kissi
GIN,Kpelle
GIN,Loma
GIN,Malinke
GIN,Susu
GIN,Yalunka
GLP,Creole_French
GLP,French
GMB,Diola
GMB,Ful
GMB,Malinke
GMB,Soninke
GMB,Wolof
GNB,Balante
GNB,Crioulo
GNB,Ful
GNB,Malinke
GNB,Mandyako
GNB,Portuguese
GNQ,Bubi
GNQ,Fang
GRC,Greek
GRC,Turkish
GRD,Creole_English
GRL,Danish
GRL,Greenlandic
GTM,Cakchiquel
GTM,KekchÃŒ
GTM,Mam
GTM,QuichÃˆ
GTM,Spanish
GUF,Creole_French
GUF,Indian_Languages
GUM,Chamorro
GUM,English
GUM,Japanese
GUM,Korean
GUM,Philippene_Languages
GUY,Arawakan
GUY,Caribbean
GUY,Creole_English
HKG,Canton_Chinese
HKG,Chiu_chau
HKG,English
HKG,Fukien
HKG,Hakka
HND,Creole_English
HND,Garifuna
HND,Miskito
HND,Spanish
HRV,Serbo-Croatian
HRV,Slovene
HTI,French
HTI,Haiti_Creole
HUN,German
HUN,Hungarian
HUN,Romani
HUN,Romanian
HUN,Serbo-Croatian
HUN,Slovak
IDN,Bali
IDN,Banja
IDN,Batakki
IDN,Bugi
IDN,Javanese
IDN,Madura
IDN,Malay
IDN,Minangkabau
IDN,Sunda
IND,Asami
IND,Bengali
IND,Gujarati
IND,Hindi
IND,Kannada
IND,Malajalam
IND,Marathi
IND,Orija
IND,Punjabi
IND,Tamil
IND,Telugu
IND,Urdu
IRL,English
IRL,Irish
IRN,Arabic
IRN,Azerbaijani
IRN,Bakhtyari
IRN,Balochi
IRN,Gilaki
IRN,Kurdish
IRN,Luri
IRN,Mazandarani
IRN,Persian
IRN,Turkmenian
IRQ,Arabic
IRQ,Assyrian
IRQ,Azerbaijani
IRQ,Kurdish
IRQ,Persian
ISL,English
ISL,Icelandic
ISR,Arabic
ISR,Hebrew
ISR,Russian
ITA,Albaniana
ITA,French
ITA,Friuli
ITA,German
ITA,Italian
ITA,Romani
ITA,Sardinian
ITA,Slovene
JAM,Creole_English
JAM,Hindi
JOR,Arabic
JOR,Armenian
JOR,Circassian
JPN,Ainu
JPN,Chinese
JPN,English
JPN,Japanese
JPN,Korean
JPN,Philippene_Languages
KAZ,German
KAZ,Kazakh
KAZ,Russian
KAZ,Tatar
KAZ,Ukrainian
KAZ,Uzbek
KEN,Gusii
KEN,Kalenjin
KEN,Kamba
KEN,Kikuyu
KEN,Luhya
KEN,Luo
KEN,Masai
KEN,Meru
KEN,Nyika
KEN,Turkana
KGZ,Kazakh
KGZ,Kirgiz
KGZ,Russian
KGZ,Tadzhik
KGZ,Tatar
KGZ,Ukrainian
KGZ,Uzbek
KHM,Chinese
KHM,Khmer
KHM,TÃ¶am
KHM,Vietnamese
KIR,Kiribati
KIR,Tuvalu
KNA,Creole_English
KNA,English
KOR,Chinese
KOR,Korean
KWT,Arabic
KWT,English
LAO,Lao
LAO,Lao-Soung
LAO,Mon-khmer
LAO,Thai
LBN,Arabic
LBN,Armenian
LBN,French
LBR,Bassa
LBR,Gio
LBR,Grebo
LBR,Kpelle
LBR,Kru
LBR,Loma
LBR,Malinke
LBR,Mano
LBY,Arabic
LBY,Berberi
LCA,Creole_French
LCA,English
LIE,German
LIE,Italian
LIE,Turkish
LKA,Mixed_Languages
LKA,Singali
LKA,Tamil
LSO,English
LSO,Sotho
LSO,Zulu
LTU,Belorussian
LTU,Lithuanian
LTU,Polish
LTU,Russian
LTU,Ukrainian
LUX,French
LUX,German
LUX,Italian
LUX,Luxembourgish
LUX,Portuguese
LVA,Belorussian
LVA,Latvian
LVA,Lithuanian
LVA,Polish
LVA,Russian
LVA,Ukrainian
MAC,Canton_Chinese
MAC,English
MAC,Mandarin_Chinese
MAC,Portuguese
MAR,Arabic
MAR,Berberi
MCO,English
MCO,French
MCO,Italian
MCO,Monegasque
MDA,Bulgariana
MDA,Gagauzi
MDA,Romanian
MDA,Russian
MDA,Ukrainian
MDG,French
MDG,Malagasy
MDV,Dhivehi
MDV,English
MEX,Mixtec
MEX,NÂ·huatl
MEX,OtomÃŒ
MEX,Spanish
MEX,Yucatec
MEX,Zapotec
MHL,English
MHL,Marshallese
MKD,Albaniana
MKD,Macedonian
MKD,Romani
MKD,Serbo-Croatian
MKD,Turkish
MLI,Bambara
MLI,Ful
MLI,Senufo_and_Minianka
MLI,Songhai
MLI,Soninke
MLI,Tamashek
MLT,English
MLT,Maltese
MMR,Burmese
MMR,Chin
MMR,Kachin
MMR,Karen
MMR,Kayah
MMR,Mon
MMR,Rakhine
MMR,Shan
MNG,Bajad
MNG,Buryat
MNG,Dariganga
MNG,Dorbet
MNG,Kazakh
MNG,Mongolian
MNP,Carolinian
MNP,Chamorro
MNP,Chinese
MNP,English
MNP,Korean
MNP,Philippene_Languages
MOZ,Chuabo
MOZ,Lomwe
MOZ,Makua
MOZ,Marendje
MOZ,Nyanja
MOZ,Ronga
MOZ,Sena
MOZ,Shona
MOZ,Tsonga
MOZ,Tswa
MRT,Ful
MRT,Hassaniya
MRT,Soninke
MRT,Tukulor
MRT,Wolof
MRT,Zenaga
MSR,English
MTQ,Creole_French
MTQ,French
MUS,Bhojpuri
MUS,Creole_French
MUS,French
MUS,Hindi
MUS,Marathi
MUS,Tamil
MWI,Chichewa
MWI,Lomwe
MWI,Ngoni
MWI,Yao
MYS,Chinese
MYS,Dusun
MYS,English
MYS,Iban
MYS,Malay
MYS,Tamil
MYT,French
MYT,MahorÃˆ
MYT,Malagasy
NAM,Afrikaans
NAM,Caprivi
NAM,German
NAM,Herero
NAM,Kavango
NAM,Nama
NAM,Ovambo
NAM,San
NCL,French
NCL,Malenasian_Languages
NCL,Polynesian_Languages
NER,Ful
NER,Hausa
NER,Kanuri
NER,Songhai-zerma
NER,Tamashek
NFK,English
NGA,Bura
NGA,Edo
NGA,Ful
NGA,Hausa
NGA,Ibibio
NGA,Ibo
NGA,Ijo
NGA,Joruba
NGA,Kanuri
NGA,Tiv
NIC,Creole_English
NIC,Miskito
NIC,Spanish
NIC,Sumo
NIU,English
NIU,Niue
NLD,Arabic
NLD,Dutch
NLD,Fries
NLD,Turkish
NOR,Danish
NOR,English
NOR,Norwegian
NOR,Saame
NOR,Swedish
NPL,Bhojpuri
NPL,Hindi
NPL,Maithili
NPL,Nepali
NPL,Newari
NPL,Tamang
NPL,Tharu
NRU,Chinese
NRU,English
NRU,Kiribati
NRU,Nauru
NRU,Tuvalu
NZL,English
NZL,Maori
OMN,Arabic
OMN,Balochi
PAK,Balochi
PAK,Brahui
PAK,Hindko
PAK,Pashto
PAK,Punjabi
PAK,Saraiki
PAK,Sindhi
PAK,Urdu
PAN,Arabic
PAN,Creole_English
PAN,Cuna
PAN,Embera
PAN,GuaymÃŒ
PAN,Spanish
PCN,Pitcairnese
PER,AimarÂ·
PER,KetÃ¶ua
PER,Spanish
PHL,Bicol
PHL,Cebuano
PHL,Hiligaynon
PHL,Ilocano
PHL,Maguindanao
PHL,Maranao
PHL,Pampango
PHL,Pangasinan
PHL,Pilipino
PHL,Waray-waray
PLW,Chinese
PLW,English
PLW,Palau
PLW,Philippene_Languages
PNG,Malenasian_Languages
PNG,Papuan_Languages
POL,Belorussian
POL,German
POL,Polish
POL,Ukrainian
PRI,English
PRI,Spanish
PRK,Chinese
PRK,Korean
PRT,Portuguese
PRY,German
PRY,GuaranÃŒ
PRY,Portuguese
PRY,Spanish
PSE,Arabic
PSE,Hebrew
PYF,Chinese
PYF,French
PYF,Tahitian
QAT,Arabic
QAT,Urdu
REU,Chinese
REU,Comorian
REU,Creole_French
REU,Malagasy
REU,Tamil
ROM,German
ROM,Hungarian
ROM,Romani
ROM,Romanian
ROM,Serbo-Croatian
ROM,Ukrainian
RUS,Avarian
RUS,Bashkir
RUS,Belorussian
RUS,Chechen
RUS,Chuvash
RUS,Kazakh
RUS,Mari
RUS,Mordva
RUS,Russian
RUS,Tatar
RUS,Udmur
RUS,Ukrainian
RWA,French
RWA,Rwanda
SAU,Arabic
SDN,Arabic
SDN,Bari
SDN,Beja
SDN,Chilluk
SDN,Dinka
SDN,Fur
SDN,Lotuko
SDN,Nubian_Languages
SDN,Nuer
SDN,Zande
SEN,Diola
SEN,Ful
SEN,Malinke
SEN,Serer
SEN,Soninke
SEN,Wolof
SGP,Chinese
SGP,Malay
SGP,Tamil
SHN,English
SJM,Norwegian
SJM,Russian
SLB,Malenasian_Languages
SLB,Papuan_Languages
SLB,Polynesian_Languages
SLE,Bullom-sherbro
SLE,Ful
SLE,Kono-vai
SLE,Kuranko
SLE,Limba
SLE,Mende
SLE,Temne
SLE,Yalunka
SLV,Nahua
SLV,Spanish
SMR,Italian
SOM,Arabic
SOM,Somali
SPM,French
STP,Crioulo
STP,French
SUR,Hindi
SUR,Sranantonga
SVK,Czech_and_Moravian
SVK,Hungarian
SVK,Romani
SVK,Slovak
SVK,Ukrainian_and_Russian
SVN,Hungarian
SVN,Serbo-Croatian
SVN,Slovene
SWE,Arabic
SWE,Finnish
SWE,Norwegian
SWE,Southern_Slavic_Languages
SWE,Spanish
SWE,Swedish
SWZ,Swazi
SWZ,Zulu
SYC,English
SYC,French
SYC,Seselwa
SYR,Arabic
SYR,Kurdish
TCA,English
TCD,Arabic
TCD,Gorane
TCD,Hadjarai
TCD,Kanem-bornu
TCD,Mayo-kebbi
TCD,Ouaddai
TCD,Sara
TCD,Tandjile
TGO,Ane
TGO,Ewe
TGO,Gurma
TGO,KabyÃˆ
TGO,Kotokoli
TGO,Moba
TGO,Naudemba
TGO,Watyi
THA,Chinese
THA,Khmer
THA,Kuy
THA,Lao
THA,Malay
THA,Thai
TJK,Russian
TJK,Tadzhik
TJK,Uzbek
TKL,English
TKL,Tokelau
TKM,Kazakh
TKM,Russian
TKM,Turkmenian
TKM,Uzbek
TMP,Portuguese
TMP,Sunda
TON,English
TON,Tongan
TTO,Creole_English
TTO,English
TTO,Hindi
TUN,Arabic
TUN,Arabic-French
TUN,Arabic-French-English
TUR,Arabic
TUR,Kurdish
TUR,Turkish
TUV,English
TUV,Kiribati
TUV,Tuvalu
TWN,Ami
TWN,Atayal
TWN,Hakka
TWN,Mandarin_Chinese
TWN,Min
TWN,Paiwan
TZA,Chaga_and_Pare
TZA,Gogo
TZA,Ha
TZA,Haya
TZA,Hehet
TZA,Luguru
TZA,Makonde
TZA,Nyakusa
TZA,Nyamwesi
TZA,Shambala
TZA,Swahili
UGA,Acholi
UGA,Ganda
UGA,Gisu
UGA,Kiga
UGA,Lango
UGA,Lugbara
UGA,Nkole
UGA,Rwanda
UGA,Soga
UGA,Teso
UKR,Belorussian
UKR,Bulgariana
UKR,Hungarian
UKR,Polish
UKR,Romanian
UKR,Russian
UKR,Ukrainian
UMI,English
URY,Spanish
USA,Chinese
USA,English
USA,French
USA,German
USA,Italian
USA,Japanese
USA,Korean
USA,Polish
USA,Portuguese
USA,Spanish
USA,Tagalog
USA,Vietnamese
UZB,Karakalpak
UZB,Kazakh
UZB,Russian
UZB,Tadzhik
UZB,Tatar
UZB,Uzbek
VAT,Italian
VCT,Creole_English
VCT,English
VEN,Goajiro
VEN,Spanish
VEN,Warrau
VGB,English
VIR,English
VIR,French
VIR,Spanish
VNM,Chinese
VNM,Khmer
VNM,Man
VNM,Miao
VNM,Muong
VNM,Nung
VNM,Thai
VNM,Tho
VNM,Vietnamese
VUT,Bislama
VUT,English
VUT,French
WLF,Futuna
WLF,Wallis
WSM,English
WSM,Samoan
WSM,Samoan-English
YEM,Arabic
YEM,Soqutri
YUG,Albaniana
YUG,Hungarian
YUG,Macedonian
YUG,Romani
YUG,Serbo-Croatian
YUG,Slovak
ZAF,Afrikaans
ZAF,English
ZAF,Ndebele
ZAF,Northsotho
ZAF,Southsotho
ZAF,Swazi
ZAF,Tsonga
ZAF,Tswana
ZAF,Venda
ZAF,Xhosa
ZAF,Zulu
ZMB,Bemba
ZMB,Chewa
ZMB,Lozi
ZMB,Nsenga
ZMB,Nyanja
ZMB,Tongan
ZWE,English
ZWE,Ndebele
ZWE,Nyanja
ZWE,Shona
