CountryCode,CountryName,Continent,CountryPop,Capital
GTM,Guatemala,North_America,11385000,922
GUF,French_Guiana,South_America,181000,3014
GUM,Guam,Oceania,168000,921
GUY,Guyana,South_America,861000,928
HKG,Hong_Kong,Asia,6782000,937
HMD,Heard_Island_and_McDonald_Islands,Antarctica,0,
HND,Honduras,North_America,6485000,933
HRV,Croatia,Europe,4473000,2409
HTI,Haiti,North_America,8222000,929
HUN,Hungary,Europe,10043200,3483
IDN,Indonesia,Asia,212107000,939
IND,India,Asia,1013662000,1109
IOT,British_Indian_Ocean_Territory,Africa,0,
IRL,Ireland,Europe,3775100,1447
IRN,Iran,Asia,67702000,1380
IRQ,Iraq,Asia,23115000,1365
ISL,Iceland,Europe,279000,1449
ISR,Israel,Asia,6217000,1450
ITA,Italy,Europe,57680000,1464
JAM,Jamaica,North_America,2583000,1530
JOR,Jordan,Asia,5083000,1786
JPN,Japan,Asia,126714000,1532
KAZ,Kazakstan,Asia,16223000,1864
KEN,Kenya,Africa,30080000,1881
KGZ,Kyrgyzstan,Asia,4699000,2253
KHM,Cambodia,Asia,11168000,1800
KIR,Kiribati,Oceania,83000,2256
KNA,Saint_Kitts_and_Nevis,North_America,38000,3064
KOR,South_Korea,Asia,46844000,2331
KWT,Kuwait,Asia,1972000,2429
LAO,Laos,Asia,5433000,2432
LBN,Lebanon,Asia,3282000,2438
LBR,Liberia,Africa,3154000,2440
LBY,Libyan_Arab_Jamahiriya,Africa,5605000,2441
LCA,Saint_Lucia,North_America,154000,3065
LIE,Liechtenstein,Europe,32300,2446
LKA,Sri_Lanka,Asia,18827000,3217
LSO,Lesotho,Africa,2153000,2437
LTU,Lithuania,Europe,3698500,2447
LUX,Luxembourg,Europe,435700,2452
LVA,Latvia,Europe,2424200,2434
MAC,Macao,Asia,473000,2454
MAR,Morocco,Africa,28351000,2486
MCO,Monaco,Europe,34000,2695
MDA,Moldova,Europe,4380000,2690
MDG,Madagascar,Africa,15942000,2455
MDV,Maldives,Asia,286000,2463
MEX,Mexico,North_America,98881000,2515
MHL,Marshall_Islands,Oceania,64000,2507
MKD,Macedonia,Europe,2024000,2460
MLI,Mali,Africa,11234000,2482
MLT,Malta,Europe,380200,2484
MMR,Myanmar,Asia,45611000,2710
MNG,Mongolia,Asia,2662000,2696
MNP,Northern_Mariana_Islands,Oceania,78000,2913
MOZ,Mozambique,Africa,19680000,2698
MRT,Mauritania,Africa,2670000,2509
MSR,Montserrat,North_America,11000,2697
MTQ,Martinique,North_America,395000,2508
MUS,Mauritius,Africa,1158000,2511
MWI,Malawi,Africa,10925000,2462
MYS,Malaysia,Asia,22244000,2464
MYT,Mayotte,Africa,149000,2514
NAM,Namibia,Africa,1726000,2726
NCL,New_Caledonia,Oceania,214000,3493
NER,Niger,Africa,10730000,2738
NFK,Norfolk_Island,Oceania,2000,2806
NGA,Nigeria,Africa,111506000,2754
NIC,Nicaragua,North_America,5074000,2734
NIU,Niue,Oceania,2000,2805
NLD,Netherlands,Europe,15864000,5
NOR,Norway,Europe,4478500,2807
NPL,Nepal,Asia,23930000,2729
NRU,Nauru,Oceania,12000,2728
NZL,New_Zealand,Oceania,3862000,3499
OMN,Oman,Asia,2542000,2821
PAK,Pakistan,Asia,156483000,2831
PAN,Panama,North_America,2856000,2882
PCN,Pitcairn,Oceania,50,2912
PER,Peru,South_America,25662000,2890
PHL,Philippines,Asia,75967000,766
PLW,Palau,Oceania,19000,2881
PNG,Papua_New_Guinea,Oceania,4807000,2884
POL,Poland,Europe,38653600,2928
PRI,Puerto_Rico,North_America,3869000,2919
PRK,North_Korea,Asia,24039000,2318
PRT,Portugal,Europe,9997600,2914
PRY,Paraguay,South_America,5496000,2885
PSE,Palestine,Asia,3101000,4074
PYF,French_Polynesia,Oceania,235000,3016
QAT,Qatar,Asia,599000,2973
REU,RÃˆunion,Africa,699000,3017
ROM,Romania,Europe,22455500,3018
RUS,Russian_Federation,Europe,146934000,3580
RWA,Rwanda,Africa,7733000,3047
SAU,Saudi_Arabia,Asia,21607000,3173
SDN,Sudan,Africa,29490000,3225
SEN,Senegal,Africa,9481000,3198
SGP,Singapore,Asia,3567000,3208
SGS,South_Georgia_and_the_South_Sandwich_Islands,Antarctica,0,
SHN,Saint_Helena,Africa,6000,3063
SJM,Svalbard_and_Jan_Mayen,Europe,3200,938
SLB,Solomon_Islands,Oceania,444000,3161
SLE,Sierra_Leone,Africa,4854000,3207
SLV,El_Salvador,North_America,6276000,645
SMR,San_Marino,Europe,27000,3171
SOM,Somalia,Africa,10097000,3214
SPM,Saint_Pierre_and_Miquelon,North_America,7000,3067
STP,Sao_Tome_and_Principe,Africa,147000,3172
SUR,Suriname,South_America,417000,3243
SVK,Slovakia,Europe,5398700,3209
SVN,Slovenia,Europe,1987800,3212
SWE,Sweden,Europe,8861400,3048
SWZ,Swaziland,Africa,1008000,3244
SYC,Seychelles,Africa,77000,3206
SYR,Syria,Asia,16125000,3250
TCA,Turks_and_Caicos_Islands,North_America,17000,3423
TCD,Chad,Africa,7651000,3337
TGO,Togo,Africa,4629000,3332
THA,Thailand,Asia,61399000,3320
TJK,Tajikistan,Asia,6188000,3261
TKL,Tokelau,Oceania,2000,3333
TKM,Turkmenistan,Asia,4459000,3419
TMP,East_Timor,Asia,885000,1522
TON,Tonga,Oceania,99000,3334
TTO,Trinidad_and_Tobago,North_America,1295000,3336
TUN,Tunisia,Africa,9586000,3349
TUR,Turkey,Asia,66591000,3358
TUV,Tuvalu,Oceania,12000,3424
TWN,Taiwan,Asia,22256000,3263
TZA,Tanzania,Africa,33517000,3306
UGA,Uganda,Africa,21778000,3425
UKR,Ukraine,Europe,50456000,3426
UMI,United_States_Minor_Outlying_Islands,Oceania,0,
URY,Uruguay,South_America,3337000,3492
USA,United_States,North_America,278357000,3813
UZB,Uzbekistan,Asia,24318000,3503
VAT,Holy_See_(Vatican_City_State),Europe,1000,3538
VCT,Saint_Vincent_and_the_Grenadines,North_America,114000,3066
VEN,Venezuela,South_America,24170000,3539
VGB,Virgin_Islands_British,North_America,21000,537
VIR,Virgin_Islands_U.S.,North_America,93000,4067
VNM,Vietnam,Asia,79832000,3770
VUT,Vanuatu,Oceania,190000,3537
WLF,Wallis_and_Futuna,Oceania,15000,3536
WSM,Samoa,Oceania,180000,3169
YEM,Yemen,Asia,18112000,1780
YUG,Yugoslavia,Europe,10640000,1792
ZAF,South_Africa,Africa,40377000,716
ZMB,Zambia,Africa,9169000,3162
ZWE,Zimbabwe,Africa,11669000,4068
